address	kind	name	type	comment
10004840	function	D3D_set_screen_mode		Sets a full-screen display mode: the front, back and depth buffers, the device, and the render states the driver keeps
10003c20	function	D3D_set_screen_mode_windowed		The same in a window
100084a0	function	set_render_state	void __fastcall (int state, int value)	Sets a render state unless it already has the value
100056b0	function	SR_driver_init		Fills the payload's device table with the driver's functions and sets up the blend factors for each mode
100077a0	function	begin_scene	int __fastcall (void)	Clears to black and to depth 0, begins the scene, and draws a background image when one is set
10007c10	function	end_scene	int __fastcall (void)	Ends the scene
10003390	function	flush_blended	void __fastcall (void *list, int layer)	Draws a layer's sorted blended polygons: every first pass, then the second passes
10006ad0	function	draw_mesh	int __fastcall (void *object, int layer)	Draws a mesh object's visible polygons group by group: opaque groups now, in one pass or two; blended ones go to the layer's list
10002920	function	draw_pass	void __fastcall (void *object, void *polygons, int group)	Draws a group's polygons for the current pass with one texture
10002500	function	draw_both_passes	void __fastcall (void *object, void *polygons, int group)	Draws a group's polygons with both passes' textures at once
10002400	function	defer_blended	void __fastcall (void *object, void *polygons, int group)	Keys each of a group's polygons by its mean depth plus its bias and adds it to the layer's list
10001b20	function	set_material	void __fastcall (void)	Render states for current_material and current_pass: texture, stage operations, blending
100019c0	function	needs_two_passes	int __fastcall (void)	1 when the device cannot draw current_material's two passes at once
100018b0	function	set_depth	void __fastcall (void)	Depth test and writes for current_layer and the pass's blend
10005500	function	stage_table_init	void __fastcall (void)	Fills stage_table
10001820	function	make_highlights	void __fastcall (void)	Makes the eight highlight textures
10001620	function	make_highlight	void __fastcall (void *image, int index)	Fills a 64x64 highlight texture
10006bf0	function	draw_sprites	int __fastcall (void *sprites, int layer)	Draws a set of sprites, or, with a blended material, puts each aside keyed by its depth plus its bias
10006c80	function	draw_stars	int __fastcall (void *stars, int layer)	Draws a star field, or, with a blended material, puts it aside with key 0
10006ce0	function	draw_blended_polygon	void __cdecl (void *record)	A mesh's polygon from a layer's sorted list: both passes at once, one pass, or clipped
10007200	function	draw_blended_sprite	void __cdecl (void *record)	
10007420	function	draw_blended_stars	void __cdecl (void *record)	
